Títulos;Activo;Precio;Cantidad
10,057666;GVC Gaesco Small Caps A FI;15,91;160,00
0,615048;GVC Gaesco Emergentfond FI;227,62;140,00
7,79165;GVC Gaesco 300 Places Worldwide CONJUNTA;15,40;120,00
10,383541;GVC Gaesco Japón A FI CONJUNTA;11,56;120,00
8,66;GVC Gaesco Japón A FI;11,55;100,00
6,5;GVC Gaesco 300 Places Worldwide;15,38;100,00
588,255175;GVC Gaesco Renta Fija Flexible CONJUNTA;11,05;6.500,00
0,7787;Pictet-China Index P EUR;128,42;100,00
8,91273541;Fidelity MSCI World Index Fund;11,22;100,00
7,72731839;Fidelity S&P 500 Index Fund EUR;12,94;100,00
1.588,244036;GVC Gaesco Renta Fija Flexible CONJUNTA;11,02;17.500,00
173,523651;GVC Gaesco V.I.F Clsae A FI;8,64;1.500,00
2,895278;GVC Gaesco Zebra US Small Caps;89,80;260,00
14,25942;GVC Gaesco Global Equity DS A ;14,03;200,00
10,645204;GVC Gaesco Small Caps A FI;15,03;160,00
0,624193;GVC Gaesco Emergentfond FI;224,29;140,00
10,311059;GVC Gaesco Japón A FI CONJUNTA;11,64;120,00
8,65387;GVC Gaesco 300 Places Worldwide CONJUNTA;13,87;120,00
55,187143;GVC Gaesco Zebra US Small Caps;90,60;5.000,00
16,9;GVC Gaesco Japón A FI;11,83;200,00
14,2;GVC Gaesco 300 Places Worldwide;14,08;200,00
7,846;Fidelity S&P 500 Index Fund EUR;12,75;100,00
8,99038029;Fidelity MSCI World Index Fund;11,12;100,00
8,6;GVC Gaesco Japón A FI;11,63;100,00
8,37598104;Fidelity S&P 500 Index Fund EUR;11,94;100,00
7,54;GVC Gaesco 300 Places Worldwide;13,26;100,00
9,61936185;Fidelity MSCI World Index Fund;10,40;100,00
20,78;GVC Gaesco Constantfons FI;9,62;200,00
7,87959972;Fidelity S&P 500 Index Fund EUR;12,69;100,00
0,00128626;Bitcoin;77.013,98;99,06
9,14795909;Fidelity MSCI World Index Fund;10,93;100,00
519,97;GVC Gaesco Constantfons FI;9,62;5.000,00
509,64;GVC Gaesco Constantfons FI;9,61;4.900,00
16,5;GVC Gaesco Japón A FI;12,12;200,00
8,15513857;GVC Gaesco Bolsalíder A FI;12,26;100,00
6,98;GVC Gaesco 300 Places Worldwide;14,33;100,00
0,00127061;Bitcoin;78.741,71;100,05
0,00120565;Bitcoin;82.984,28;100,05
6,36;GVC Gaesco 300 Places Worldwide;15,72;100,00
8,15544008;GVC Gaesco Bolsalíder A FI;12,26;100,00
0,00104207;Bitcoin;95.060,79;99,06
0,00076195;Bitcoin;97.499,84;74,29
0,00098842;Bitcoin;100.210,44;99,05
8,76576198;GVC Gaesco Bolsalíder A FI;11,41;100,00
6,66;GVC Gaesco 300 Places Worldwide;15,02;100,00
8,62;GVC Gaesco Japón A FI;11,60;100,00
6,48;GVC Gaesco 300 Places Worldwide;15,43;100,00
